mention_text,lat,lon,valid
Dardenne,38.76350021362305,-90.73564910888672,1
Scottish Universities Environmental Research Centre Rankine Avenue East Kilbride Scotland UK G,55.7534514500606,-4.16308249980059,1
Reid R. Dupraz C.,48.21051,16.23873,1
Sherpur-Batal,31.17900276184082,76.95785522460938,1
Playfbrd,-13.822681427001953,131.83438110351562,1
western Nevada United States,39.356449127197266,-116.6553955078125,1
Deinococcus-Thermus Rhodobacteraceae Desulfobacterales and Spirochaetes,-1,-1,0
middle region,63.13799285888672,-92.45469665527344,1
Xishan area,25.038450241088867,102.66481018066406,1
Takashima C Kano A  Microbial,35.349998474121094,136.02999877929688,1
Laguna Mormona BajaCalifornia Mexico,32.57196,-115.43498,1
Gamohaan and Frisco,33.15066146850586,-96.82508087158203,1
Maestrat Basin eastern Spain,40.390106201171875,-3.554382085800171,1
Moffett Field,37.413028717041016,-122.05476379394531,1
North Stromatolite Lake,32.69564437866211,-117.19674682617188,1
India Kussiella,22.35251808166504,79.36368560791016,1
northern part of the Hamersley Basin,-31.84906005859375,115.80699920654297,1
ooidal deposit Harli,30.847686767578125,76.98099517822266,1
Eglington,46.31788635253906,-62.36921310424805,1
S 'S 'S South Africa Cape Alfred Stromatolite,-33.61492,26.87468,1
Mpanda,-6.351311206817627,31.066984176635742,1
Conophyton Vucerrilla,-1,-1,0
Port Elizabeth coastline South Africa,-33.96076,25.62064,1
Western Australia Plain Street East Perth WA Australia,-31.9521160500094,115.877177549963,1
Amadeus Basin central Australia,-25.00002670288086,135,1
southern Jura France,46.72938537597656,5.697347164154053,1
Aravalli Group India,22.35251808166504,79.36368560791016,1
South China,44.38739776611328,-69.59387969970703,1
Tongue Reef,-16.366533279418945,145.88189697265625,1
Zhou-Zhang Road,34.84852981567383,104.4717025756836,1
Kakkarhatti - Kunihar and Shalaghat-Arki-Kunihar,31.149999618530273,76.97000122070312,1
eastern Isua Greenstone Belt,7.4388017654418945,5.895137786865234,1
Punta Chivato,27.068010330200195,-111.9667739868164,1
marine-dominated environment Ras El Shetan area Gulf of Aqaba Egypt,26.50221061706543,29.874080657958984,1
Abu Dhabi,24.488176345825195,54.35494613647461,1
Tuoba,-1,-1,0
Jeevankumar  India,29.538549423217773,79.5590591430664,1
Zyqlopleura,-1,-1,0
Coorong Lagoon South Australia,-35.455322265625,138.305419921875,1
Mauritania Trompette,20.26905632019043,-10.329886436462402,1
Eastern California At,36.57857894897461,-118.2919921875,1
